INSTID,UKPRN,"Region 
of provider",HE provider ,"Unit of 
assessment number",Unit of assessment name,"Multiple 
submission letter","Scaled FTE 
of eligible staff"
27,10007138,EMID,The University of Northampton,17,"Geography, Environmental Studies and Archaeology",Z,9
27,10007138,EMID,The University of Northampton,19,Business and Management Studies,Z,12
27,10007138,EMID,The University of Northampton,25,Education,Z,14
27,10007138,EMID,The University of Northampton,29,English Language and Literature,Z,12
27,10007138,EMID,The University of Northampton,30,History,Z,8
27,10007138,EMID,The University of Northampton,34,"Art and Design: History, Practice and Theory",Z,11
27,10007138,EMID,The University of Northampton,N/A,UoA not recorded,Not recorded,280
69,10001282,NEAS,University of Northumbria at Newcastle†,2,"Public Health, Health Services and Primary Care",Z,73
69,10001282,NEAS,University of Northumbria at Newcastle†,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Z,151
69,10001282,NEAS,University of Northumbria at Newcastle†,4,"Psychology, Psychiatry and Neuroscience",Z,34
69,10001282,NEAS,University of Northumbria at Newcastle†,5,Biological Sciences,Z,40
69,10001282,NEAS,University of Northumbria at Newcastle†,7,Earth Systems and Environmental Sciences,Z,16
69,10001282,NEAS,University of Northumbria at Newcastle†,10,Mathematical Sciences,Z,17
69,10001282,NEAS,University of Northumbria at Newcastle†,11,Computer Science and Informatics,Z,59
69,10001282,NEAS,University of Northumbria at Newcastle†,12,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering",Z,14
69,10001282,NEAS,University of Northumbria at Newcastle†,13,"Electrical and Electronic Engineering, Metallurgy and Materials",Z,20
69,10001282,NEAS,University of Northumbria at Newcastle†,14,Civil and Construction engineering,Z,18
69,10001282,NEAS,University of Northumbria at Newcastle†,15,General Engineering,Z,23
69,10001282,NEAS,University of Northumbria at Newcastle†,16,"Architecture, Built Environment and Planning",Z,70
69,10001282,NEAS,University of Northumbria at Newcastle†,17,"Geography, Environmental Studies and Archaeology",Z,28
69,10001282,NEAS,University of Northumbria at Newcastle†,19,Business and Management Studies,Z,130
69,10001282,NEAS,University of Northumbria at Newcastle†,20,Law,Z,96
69,10001282,NEAS,University of Northumbria at Newcastle†,21,Politics and International Studies,Z,3
69,10001282,NEAS,University of Northumbria at Newcastle†,22,Social Work and Social Policy,Z,49
69,10001282,NEAS,University of Northumbria at Newcastle†,23,Sociology,Z,16
69,10001282,NEAS,University of Northumbria at Newcastle†,25,Education,Z,34
69,10001282,NEAS,University of Northumbria at Newcastle†,26,"Sport and Exercise Sciences, Leisure and Tourism",Z,44
69,10001282,NEAS,University of Northumbria at Newcastle†,28,Modern Languages and Linguistics,Z,24
69,10001282,NEAS,University of Northumbria at Newcastle†,29,English Language and Literature,Z,44
69,10001282,NEAS,University of Northumbria at Newcastle†,30,History,Z,25
69,10001282,NEAS,University of Northumbria at Newcastle†,34,"Art and Design: History, Practice and Theory",Z,118
69,10001282,NEAS,University of Northumbria at Newcastle†,35,"Music, Drama, Dance and Performing Arts",Z,6
69,10001282,NEAS,University of Northumbria at Newcastle†,36,"Communication, Cultural and Media Studies, Library and Information Management",A,15
69,10001282,NEAS,University of Northumbria at Newcastle†,36,"Communication, Cultural and Media Studies, Library and Information Management",B,7
69,10001282,NEAS,University of Northumbria at Newcastle†,36,"Communication, Cultural and Media Studies, Library and Information Management",Z,11
190,10004775,EAST,Norwich University of the Arts,34,"Art and Design: History, Practice and Theory",Z,41
155,10007154,EMID,University of Nottingham,1,Clinical Medicine,Z,140
155,10007154,EMID,University of Nottingham,2,"Public Health, Health Services and Primary Care",Z,47
155,10007154,EMID,University of Nottingham,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",A,56
155,10007154,EMID,University of Nottingham,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",B,65
155,10007154,EMID,University of Nottingham,4,"Psychology, Psychiatry and Neuroscience",Z,77
155,10007154,EMID,University of Nottingham,5,Biological Sciences,Z,136
155,10007154,EMID,University of Nottingham,6,"Agriculture, Veterinary and Food Science",Z,157
155,10007154,EMID,University of Nottingham,8,Chemistry,Z,43
155,10007154,EMID,University of Nottingham,9,Physics,Z,64
155,10007154,EMID,University of Nottingham,10,Mathematical Sciences,Z,62
155,10007154,EMID,University of Nottingham,11,Computer Science and Informatics,Z,51
155,10007154,EMID,University of Nottingham,15,General Engineering,Z,174
155,10007154,EMID,University of Nottingham,16,"Architecture, Built Environment and Planning",Z,46
155,10007154,EMID,University of Nottingham,17,"Geography, Environmental Studies and Archaeology",A,13
155,10007154,EMID,University of Nottingham,17,"Geography, Environmental Studies and Archaeology",B,43
155,10007154,EMID,University of Nottingham,18,Economics and Econometrics,Z,46
155,10007154,EMID,University of Nottingham,19,Business and Management Studies,Z,114
155,10007154,EMID,University of Nottingham,20,Law,Z,52
155,10007154,EMID,University of Nottingham,21,Politics and International Studies,Z,36
155,10007154,EMID,University of Nottingham,22,Social Work and Social Policy,Z,40
155,10007154,EMID,University of Nottingham,25,Education,Z,50
155,10007154,EMID,University of Nottingham,27,Area Studies,A,22
155,10007154,EMID,University of Nottingham,27,Area Studies,B,25
155,10007154,EMID,University of Nottingham,28,Modern Languages and Linguistics,Z,59
155,10007154,EMID,University of Nottingham,29,English Language and Literature,Z,44
155,10007154,EMID,University of Nottingham,30,History,Z,32
155,10007154,EMID,University of Nottingham,31,Classics,Z,14
155,10007154,EMID,University of Nottingham,32,Philosophy,Z,14
155,10007154,EMID,University of Nottingham,33,Theology and Religious Studies,Z,16
155,10007154,EMID,University of Nottingham,34,"Art and Design: History, Practice and Theory",Z,10
155,10007154,EMID,University of Nottingham,35,"Music, Drama, Dance and Performing Arts",Z,11
155,10007154,EMID,University of Nottingham,36,"Communication, Cultural and Media Studies, Library and Information Management",Z,19
71,10004797,EMID,The Nottingham Trent University,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Z,48
71,10004797,EMID,The Nottingham Trent University,4,"Psychology, Psychiatry and Neuroscience",Z,44
71,10004797,EMID,The Nottingham Trent University,5,Biological Sciences,Z,9
71,10004797,EMID,The Nottingham Trent University,6,"Agriculture, Veterinary and Food Science",Z,34
71,10004797,EMID,The Nottingham Trent University,7,Earth Systems and Environmental Sciences,Z,9
71,10004797,EMID,The Nottingham Trent University,8,Chemistry,Z,9
71,10004797,EMID,The Nottingham Trent University,9,Physics,Z,3
71,10004797,EMID,The Nottingham Trent University,10,Mathematical Sciences,Z,6
71,10004797,EMID,The Nottingham Trent University,11,Computer Science and Informatics,Z,42
71,10004797,EMID,The Nottingham Trent University,14,Civil and Construction engineering,Z,12
71,10004797,EMID,The Nottingham Trent University,15,General Engineering,Z,32
71,10004797,EMID,The Nottingham Trent University,16,"Architecture, Built Environment and Planning",Z,65
71,10004797,EMID,The Nottingham Trent University,17,"Geography, Environmental Studies and Archaeology",Z,24
71,10004797,EMID,The Nottingham Trent University,18,Economics and Econometrics,Z,21
71,10004797,EMID,The Nottingham Trent University,19,Business and Management Studies,Z,136
71,10004797,EMID,The Nottingham Trent University,20,Law,Z,91
71,10004797,EMID,The Nottingham Trent University,21,Politics and International Studies,Z,24
71,10004797,EMID,The Nottingham Trent University,22,Social Work and Social Policy,Z,37
71,10004797,EMID,The Nottingham Trent University,23,Sociology,Z,33
71,10004797,EMID,The Nottingham Trent University,25,Education,Z,89
71,10004797,EMID,The Nottingham Trent University,26,"Sport and Exercise Sciences, Leisure and Tourism",Z,20
71,10004797,EMID,The Nottingham Trent University,28,Modern Languages and Linguistics,Z,37
71,10004797,EMID,The Nottingham Trent University,29,English Language and Literature,Z,24
71,10004797,EMID,The Nottingham Trent University,30,History,Z,14
71,10004797,EMID,The Nottingham Trent University,32,Philosophy,Z,1
71,10004797,EMID,The Nottingham Trent University,34,"Art and Design: History, Practice and Theory",Z,139
71,10004797,EMID,The Nottingham Trent University,35,"Music, Drama, Dance and Performing Arts",Z,9
71,10004797,EMID,The Nottingham Trent University,36,"Communication, Cultural and Media Studies, Library and Information Management",Z,41
1,10007773,SEAS,The Open University,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Z,81
1,10007773,SEAS,The Open University,4,"Psychology, Psychiatry and Neuroscience",Z,29
1,10007773,SEAS,The Open University,5,Biological Sciences,Z,22
1,10007773,SEAS,The Open University,7,Earth Systems and Environmental Sciences,Z,71
1,10007773,SEAS,The Open University,8,Chemistry,Z,8
1,10007773,SEAS,The Open University,9,Physics,Z,11
1,10007773,SEAS,The Open University,10,Mathematical Sciences,Z,47
1,10007773,SEAS,The Open University,11,Computer Science and Informatics,Z,58
1,10007773,SEAS,The Open University,13,"Electrical and Electronic Engineering, Metallurgy and Materials",Z,21
1,10007773,SEAS,The Open University,15,General Engineering,Z,65
1,10007773,SEAS,The Open University,17,"Geography, Environmental Studies and Archaeology",Z,21
1,10007773,SEAS,The Open University,18,Economics and Econometrics,Z,8
1,10007773,SEAS,The Open University,19,Business and Management Studies,Z,90
1,10007773,SEAS,The Open University,20,Law,Z,21
1,10007773,SEAS,The Open University,21,Politics and International Studies,Z,11
1,10007773,SEAS,The Open University,22,Social Work and Social Policy,Z,45
1,10007773,SEAS,The Open University,23,Sociology,Z,43
1,10007773,SEAS,The Open University,24,Anthropology and Development Studies,Z,23
1,10007773,SEAS,The Open University,25,Education,Z,141
1,10007773,SEAS,The Open University,28,Modern Languages and Linguistics,Z,34
1,10007773,SEAS,The Open University,29,English Language and Literature,Z,27
1,10007773,SEAS,The Open University,30,History,Z,21
1,10007773,SEAS,The Open University,31,Classics,Z,15
1,10007773,SEAS,The Open University,32,Philosophy,Z,9
1,10007773,SEAS,The Open University,33,Theology and Religious Studies,Z,9
1,10007773,SEAS,The Open University,34,"Art and Design: History, Practice and Theory",Z,29
1,10007773,SEAS,The Open University,35,"Music, Drama, Dance and Performing Arts",Z,13
72,10004930,SEAS,Oxford Brookes University,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Z,134
72,10004930,SEAS,Oxford Brookes University,4,"Psychology, Psychiatry and Neuroscience",Z,19
72,10004930,SEAS,Oxford Brookes University,5,Biological Sciences,Z,34
72,10004930,SEAS,Oxford Brookes University,11,Computer Science and Informatics,Z,33
72,10004930,SEAS,Oxford Brookes University,15,General Engineering,Z,39
72,10004930,SEAS,Oxford Brookes University,16,"Architecture, Built Environment and Planning",Z,70
72,10004930,SEAS,Oxford Brookes University,17,"Geography, Environmental Studies and Archaeology",Z,14
72,10004930,SEAS,Oxford Brookes University,19,Business and Management Studies,Z,124
72,10004930,SEAS,Oxford Brookes University,20,Law,Z,20
72,10004930,SEAS,Oxford Brookes University,21,Politics and International Studies,Z,18
72,10004930,SEAS,Oxford Brookes University,23,Sociology,Z,2
72,10004930,SEAS,Oxford Brookes University,24,Anthropology and Development Studies,Z,5
72,10004930,SEAS,Oxford Brookes University,25,Education,Z,62
72,10004930,SEAS,Oxford Brookes University,28,Modern Languages and Linguistics,Z,9
72,10004930,SEAS,Oxford Brookes University,29,English Language and Literature,Z,22
72,10004930,SEAS,Oxford Brookes University,30,History,Z,35
72,10004930,SEAS,Oxford Brookes University,32,Philosophy,Z,12
72,10004930,SEAS,Oxford Brookes University,33,Theology and Religious Studies,Z,2
72,10004930,SEAS,Oxford Brookes University,34,"Art and Design: History, Practice and Theory",Z,15
72,10004930,SEAS,Oxford Brookes University,35,"Music, Drama, Dance and Performing Arts",Z,14
72,10004930,SEAS,Oxford Brookes University,36,"Communication, Cultural and Media Studies, Library and Information Management",Z,7
156,10007774,SEAS,The University of Oxford,1,Clinical Medicine,Z,322
156,10007774,SEAS,The University of Oxford,2,"Public Health, Health Services and Primary Care",Z,65
156,10007774,SEAS,The University of Oxford,4,"Psychology, Psychiatry and Neuroscience",Z,128
156,10007774,SEAS,The University of Oxford,5,Biological Sciences,Z,274
156,10007774,SEAS,The University of Oxford,7,Earth Systems and Environmental Sciences,Z,42
156,10007774,SEAS,The University of Oxford,8,Chemistry,Z,86
156,10007774,SEAS,The University of Oxford,9,Physics,Z,142
156,10007774,SEAS,The University of Oxford,10,Mathematical Sciences,Z,157
156,10007774,SEAS,The University of Oxford,11,Computer Science and Informatics,Z,78
156,10007774,SEAS,The University of Oxford,13,"Electrical and Electronic Engineering, Metallurgy and Materials",Z,35
156,10007774,SEAS,The University of Oxford,15,General Engineering,Z,93
156,10007774,SEAS,The University of Oxford,17,"Geography, Environmental Studies and Archaeology",A,42
156,10007774,SEAS,The University of Oxford,17,"Geography, Environmental Studies and Archaeology",B,72
156,10007774,SEAS,The University of Oxford,18,Economics and Econometrics,Z,97
156,10007774,SEAS,The University of Oxford,19,Business and Management Studies,Z,83
156,10007774,SEAS,The University of Oxford,20,Law,Z,115
156,10007774,SEAS,The University of Oxford,21,Politics and International Studies,Z,79
156,10007774,SEAS,The University of Oxford,22,Social Work and Social Policy,Z,30
156,10007774,SEAS,The University of Oxford,23,Sociology,Z,36
156,10007774,SEAS,The University of Oxford,24,Anthropology and Development Studies,A,64
156,10007774,SEAS,The University of Oxford,24,Anthropology and Development Studies,B,51
156,10007774,SEAS,The University of Oxford,25,Education,Z,46
156,10007774,SEAS,The University of Oxford,27,Area Studies,Z,97
156,10007774,SEAS,The University of Oxford,28,Modern Languages and Linguistics,Z,112
156,10007774,SEAS,The University of Oxford,29,English Language and Literature,Z,97
156,10007774,SEAS,The University of Oxford,30,History,Z,133
156,10007774,SEAS,The University of Oxford,31,Classics,Z,64
156,10007774,SEAS,The University of Oxford,32,Philosophy,Z,65
156,10007774,SEAS,The University of Oxford,33,Theology and Religious Studies,Z,32
156,10007774,SEAS,The University of Oxford,34,"Art and Design: History, Practice and Theory",Z,8
156,10007774,SEAS,The University of Oxford,35,"Music, Drama, Dance and Performing Arts",Z,20
156,10007774,SEAS,The University of Oxford,36,"Communication, Cultural and Media Studies, Library and Information Management",Z,10
73,10007801,SWES,University of Plymouth,1,Clinical Medicine,Z,32
73,10007801,SWES,University of Plymouth,2,"Public Health, Health Services and Primary Care",Z,9
73,10007801,SWES,University of Plymouth,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Z,112
73,10007801,SWES,University of Plymouth,4,"Psychology, Psychiatry and Neuroscience",Z,38
73,10007801,SWES,University of Plymouth,5,Biological Sciences,Z,2
73,10007801,SWES,University of Plymouth,6,"Agriculture, Veterinary and Food Science",Z,37
73,10007801,SWES,University of Plymouth,7,Earth Systems and Environmental Sciences,Z,67
73,10007801,SWES,University of Plymouth,8,Chemistry,Z,7
73,10007801,SWES,University of Plymouth,10,Mathematical Sciences,Z,34
73,10007801,SWES,University of Plymouth,11,Computer Science and Informatics,Z,21
73,10007801,SWES,University of Plymouth,13,"Electrical and Electronic Engineering, Metallurgy and Materials",Z,19
73,10007801,SWES,University of Plymouth,14,Civil and Construction engineering,Z,1
73,10007801,SWES,University of Plymouth,15,General Engineering,Z,30
73,10007801,SWES,University of Plymouth,16,"Architecture, Built Environment and Planning",Z,19
73,10007801,SWES,University of Plymouth,17,"Geography, Environmental Studies and Archaeology",Z,37
73,10007801,SWES,University of Plymouth,18,Economics and Econometrics,Z,5
73,10007801,SWES,University of Plymouth,19,Business and Management Studies,Z,54
73,10007801,SWES,University of Plymouth,20,Law,Z,16
73,10007801,SWES,University of Plymouth,21,Politics and International Studies,Z,4
73,10007801,SWES,University of Plymouth,22,Social Work and Social Policy,Z,44
73,10007801,SWES,University of Plymouth,23,Sociology,Z,5
73,10007801,SWES,University of Plymouth,25,Education,Z,61
73,10007801,SWES,University of Plymouth,28,Modern Languages and Linguistics,Z,1
73,10007801,SWES,University of Plymouth,29,English Language and Literature,Z,12
73,10007801,SWES,University of Plymouth,30,History,Z,12
73,10007801,SWES,University of Plymouth,34,"Art and Design: History, Practice and Theory",Z,33
73,10007801,SWES,University of Plymouth,35,"Music, Drama, Dance and Performing Arts",Z,15
74,10007155,SEAS,The University of Portsmouth,2,"Public Health, Health Services and Primary Care",Z,15
74,10007155,SEAS,The University of Portsmouth,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Z,28
74,10007155,SEAS,The University of Portsmouth,4,"Psychology, Psychiatry and Neuroscience",Z,27
74,10007155,SEAS,The University of Portsmouth,5,Biological Sciences,Z,21
74,10007155,SEAS,The University of Portsmouth,7,Earth Systems and Environmental Sciences,Z,32
74,10007155,SEAS,The University of Portsmouth,8,Chemistry,Z,9
74,10007155,SEAS,The University of Portsmouth,9,Physics,Z,20
74,10007155,SEAS,The University of Portsmouth,10,Mathematical Sciences,Z,21
74,10007155,SEAS,The University of Portsmouth,11,Computer Science and Informatics,Z,59
74,10007155,SEAS,The University of Portsmouth,12,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering",Z,31
74,10007155,SEAS,The University of Portsmouth,13,"Electrical and Electronic Engineering, Metallurgy and Materials",Z,28
74,10007155,SEAS,The University of Portsmouth,14,Civil and Construction engineering,Z,28
74,10007155,SEAS,The University of Portsmouth,16,"Architecture, Built Environment and Planning",Z,31
74,10007155,SEAS,The University of Portsmouth,17,"Geography, Environmental Studies and Archaeology",Z,23
74,10007155,SEAS,The University of Portsmouth,18,Economics and Econometrics,Z,15
74,10007155,SEAS,The University of Portsmouth,19,Business and Management Studies,Z,132
74,10007155,SEAS,The University of Portsmouth,20,Law,Z,17
74,10007155,SEAS,The University of Portsmouth,21,Politics and International Studies,Z,9
74,10007155,SEAS,The University of Portsmouth,22,Social Work and Social Policy,Z,40
74,10007155,SEAS,The University of Portsmouth,23,Sociology,Z,30
74,10007155,SEAS,The University of Portsmouth,25,Education,Z,47
74,10007155,SEAS,The University of Portsmouth,26,"Sport and Exercise Sciences, Leisure and Tourism",Z,19
74,10007155,SEAS,The University of Portsmouth,27,Area Studies,Z,47
74,10007155,SEAS,The University of Portsmouth,28,Modern Languages and Linguistics,Z,61
74,10007155,SEAS,The University of Portsmouth,29,English Language and Literature,Z,20
74,10007155,SEAS,The University of Portsmouth,30,History,Z,8
74,10007155,SEAS,The University of Portsmouth,34,"Art and Design: History, Practice and Theory",Z,46
74,10007155,SEAS,The University of Portsmouth,35,"Music, Drama, Dance and Performing Arts",Z,5
74,10007155,SEAS,The University of Portsmouth,36,"Communication, Cultural and Media Studies, Library and Information Management",Z,28
74,10007155,SEAS,The University of Portsmouth,N/A,UoA not recorded,Not recorded,151
139,10007775,LOND,Queen Mary University of London† ,1,Clinical Medicine,Z,..
139,10007775,LOND,Queen Mary University of London† ,2,"Public Health, Health Services and Primary Care",Z,..
139,10007775,LOND,Queen Mary University of London† ,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Z,..
139,10007775,LOND,Queen Mary University of London† ,5,Biological Sciences,Z,..
139,10007775,LOND,Queen Mary University of London,8,Chemistry,Z,16
139,10007775,LOND,Queen Mary University of London† ,9,Physics,Z,..
139,10007775,LOND,Queen Mary University of London,10,Mathematical Sciences,Z,44
139,10007775,LOND,Queen Mary University of London† ,11,Computer Science and Informatics,Z,..
139,10007775,LOND,Queen Mary University of London,13,"Electrical and Electronic Engineering, Metallurgy and Materials",A,21
139,10007775,LOND,Queen Mary University of London† ,13,"Electrical and Electronic Engineering, Metallurgy and Materials",B,..
139,10007775,LOND,Queen Mary University of London† ,15,General Engineering,Z,..
139,10007775,LOND,Queen Mary University of London† ,17,"Geography, Environmental Studies and Archaeology",Z,..
139,10007775,LOND,Queen Mary University of London,18,Economics and Econometrics,Z,31
139,10007775,LOND,Queen Mary University of London† ,19,Business and Management Studies,Z,..
139,10007775,LOND,Queen Mary University of London† ,20,Law,Z,..
139,10007775,LOND,Queen Mary University of London,21,Politics and International Studies,Z,25
139,10007775,LOND,Queen Mary University of London,28,Modern Languages and Linguistics,A,11
139,10007775,LOND,Queen Mary University of London,28,Modern Languages and Linguistics,B,43
139,10007775,LOND,Queen Mary University of London,29,English Language and Literature,Z,42
139,10007775,LOND,Queen Mary University of London,30,History,Z,47
139,10007775,LOND,Queen Mary University of London,35,"Music, Drama, Dance and Performing Arts",Z,18
157,10007802,SEAS,The University of Reading,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Z,26
157,10007802,SEAS,The University of Reading,4,"Psychology, Psychiatry and Neuroscience",Z,44
157,10007802,SEAS,The University of Reading,5,Biological Sciences,Z,30
157,10007802,SEAS,The University of Reading,6,"Agriculture, Veterinary and Food Science",Z,82
157,10007802,SEAS,The University of Reading,7,Earth Systems and Environmental Sciences,Z,78
157,10007802,SEAS,The University of Reading,8,Chemistry,Z,25
157,10007802,SEAS,The University of Reading,10,Mathematical Sciences,Z,29
157,10007802,SEAS,The University of Reading,13,"Electrical and Electronic Engineering, Metallurgy and Materials",Z,32
157,10007802,SEAS,The University of Reading,16,"Architecture, Built Environment and Planning",Z,48
157,10007802,SEAS,The University of Reading,17,"Geography, Environmental Studies and Archaeology",A,20
157,10007802,SEAS,The University of Reading,17,"Geography, Environmental Studies and Archaeology",B,25
157,10007802,SEAS,The University of Reading,19,Business and Management Studies,Z,66
157,10007802,SEAS,The University of Reading,20,Law,Z,28
157,10007802,SEAS,The University of Reading,21,Politics and International Studies,Z,17
157,10007802,SEAS,The University of Reading,25,Education,Z,27
157,10007802,SEAS,The University of Reading,28,Modern Languages and Linguistics,Z,21
157,10007802,SEAS,The University of Reading,29,English Language and Literature,Z,31
157,10007802,SEAS,The University of Reading,30,History,Z,18
157,10007802,SEAS,The University of Reading,31,Classics,Z,14
157,10007802,SEAS,The University of Reading,32,Philosophy,Z,12
157,10007802,SEAS,The University of Reading,34,"Art and Design: History, Practice and Theory",A,14
157,10007802,SEAS,The University of Reading,34,"Art and Design: History, Practice and Theory",B,11
157,10007802,SEAS,The University of Reading,35,"Music, Drama, Dance and Performing Arts",Z,11
31,10007776,LOND,Roehampton University,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Z,16
31,10007776,LOND,Roehampton University,4,"Psychology, Psychiatry and Neuroscience",Z,18
31,10007776,LOND,Roehampton University,19,Business and Management Studies,Z,14
31,10007776,LOND,Roehampton University,23,Sociology,Z,15
31,10007776,LOND,Roehampton University,24,Anthropology and Development Studies,Z,11
31,10007776,LOND,Roehampton University,25,Education,Z,26
31,10007776,LOND,Roehampton University,28,Modern Languages and Linguistics,Z,15
31,10007776,LOND,Roehampton University,29,English Language and Literature,Z,28
31,10007776,LOND,Roehampton University,30,History,Z,19
31,10007776,LOND,Roehampton University,33,Theology and Religious Studies,Z,7
31,10007776,LOND,Roehampton University,35,"Music, Drama, Dance and Performing Arts",A,16
31,10007776,LOND,Roehampton University,35,"Music, Drama, Dance and Performing Arts",B,13
31,10007776,LOND,Roehampton University,36,"Communication, Cultural and Media Studies, Library and Information Management",Z,21
31,10007776,LOND,Roehampton University,N/A,UoA not recorded,Not recorded,4
32,10005523,LOND,Rose Bruford College,35,"Music, Drama, Dance and Performing Arts",Z,40
33,10007835,LOND,Royal Academy of Music,35,"Music, Drama, Dance and Performing Arts",Z,20
195,10005545,SWES,Royal Agricultural University,6,"Agriculture, Veterinary and Food Science",Z,25
195,10005545,SWES,Royal Agricultural University,16,"Architecture, Built Environment and Planning",Z,12
195,10005545,SWES,Royal Agricultural University,19,Business and Management Studies,Z,9
3,10007777,LOND,Royal College of Art,34,"Art and Design: History, Practice and Theory",Z,92
34,10007778,LOND,Royal College of Music,35,"Music, Drama, Dance and Performing Arts",Z,62
141,10005553,SEAS,Royal Holloway and Bedford New College,4,"Psychology, Psychiatry and Neuroscience",Z,40
141,10005553,SEAS,Royal Holloway and Bedford New College,5,Biological Sciences,Z,33
141,10005553,SEAS,Royal Holloway and Bedford New College,7,Earth Systems and Environmental Sciences,Z,28
141,10005553,SEAS,Royal Holloway and Bedford New College,9,Physics,Z,30
141,10005553,SEAS,Royal Holloway and Bedford New College,10,Mathematical Sciences,Z,18
141,10005553,SEAS,Royal Holloway and Bedford New College,11,Computer Science and Informatics,Z,33
141,10005553,SEAS,Royal Holloway and Bedford New College,17,"Geography, Environmental Studies and Archaeology",Z,29
141,10005553,SEAS,Royal Holloway and Bedford New College,18,Economics and Econometrics,Z,23
141,10005553,SEAS,Royal Holloway and Bedford New College,19,Business and Management Studies,Z,63
141,10005553,SEAS,Royal Holloway and Bedford New College,20,Law,Z,1
141,10005553,SEAS,Royal Holloway and Bedford New College,21,Politics and International Studies,Z,25
141,10005553,SEAS,Royal Holloway and Bedford New College,22,Social Work and Social Policy,Z,9
141,10005553,SEAS,Royal Holloway and Bedford New College,23,Sociology,Z,1
141,10005553,SEAS,Royal Holloway and Bedford New College,28,Modern Languages and Linguistics,Z,25
141,10005553,SEAS,Royal Holloway and Bedford New College,29,English Language and Literature,Z,28
141,10005553,SEAS,Royal Holloway and Bedford New College,30,History,Z,35
141,10005553,SEAS,Royal Holloway and Bedford New College,31,Classics,Z,12
141,10005553,SEAS,Royal Holloway and Bedford New College,35,"Music, Drama, Dance and Performing Arts",A,15
141,10005553,SEAS,Royal Holloway and Bedford New College,35,"Music, Drama, Dance and Performing Arts",B,18
141,10005553,SEAS,Royal Holloway and Bedford New College,35,"Music, Drama, Dance and Performing Arts",Z,3
141,10005553,SEAS,Royal Holloway and Bedford New College,36,"Communication, Cultural and Media Studies, Library and Information Management",Z,20
35,10007837,NWES,Royal Northern College of Music,35,"Music, Drama, Dance and Performing Arts",Z,43
143,10007779,LOND,The Royal Veterinary College,6,"Agriculture, Veterinary and Food Science",Z,126
145,10007782,LOND,St George's Hospital Medical School,1,Clinical Medicine,Z,91
145,10007782,LOND,St George's Hospital Medical School,2,"Public Health, Health Services and Primary Care",Z,16
145,10007782,LOND,St George's Hospital Medical School,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Z,1
39,10007843,LOND,"St Mary's University, Twickenham",2,"Public Health, Health Services and Primary Care",Z,6
39,10007843,LOND,"St Mary's University, Twickenham",3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Z,9
39,10007843,LOND,"St Mary's University, Twickenham",4,"Psychology, Psychiatry and Neuroscience",Z,6
39,10007843,LOND,"St Mary's University, Twickenham",9,Physics,Z,2
39,10007843,LOND,"St Mary's University, Twickenham",10,Mathematical Sciences,Z,1
39,10007843,LOND,"St Mary's University, Twickenham",17,"Geography, Environmental Studies and Archaeology",Z,2
39,10007843,LOND,"St Mary's University, Twickenham",19,Business and Management Studies,Z,6
39,10007843,LOND,"St Mary's University, Twickenham",20,Law,Z,6
39,10007843,LOND,"St Mary's University, Twickenham",23,Sociology,Z,4
39,10007843,LOND,"St Mary's University, Twickenham",25,Education,Z,67
39,10007843,LOND,"St Mary's University, Twickenham",26,"Sport and Exercise Sciences, Leisure and Tourism",Z,32
39,10007843,LOND,"St Mary's University, Twickenham",29,English Language and Literature,Z,13
39,10007843,LOND,"St Mary's University, Twickenham",30,History,Z,7
39,10007843,LOND,"St Mary's University, Twickenham",32,Philosophy,Z,5
39,10007843,LOND,"St Mary's University, Twickenham",33,Theology and Religious Studies,Z,9
39,10007843,LOND,"St Mary's University, Twickenham",35,"Music, Drama, Dance and Performing Arts",Z,6
39,10007843,LOND,"St Mary's University, Twickenham",36,"Communication, Cultural and Media Studies, Library and Information Management",Z,12
158,10007156,NWES,The University of Salford,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Z,277
158,10007156,NWES,The University of Salford,5,Biological Sciences,Z,35
158,10007156,NWES,The University of Salford,11,Computer Science and Informatics,Z,13
158,10007156,NWES,The University of Salford,13,"Electrical and Electronic Engineering, Metallurgy and Materials",Z,86
158,10007156,NWES,The University of Salford,16,"Architecture, Built Environment and Planning",Z,77
158,10007156,NWES,The University of Salford,17,"Geography, Environmental Studies and Archaeology",Z,11
158,10007156,NWES,The University of Salford,19,Business and Management Studies,Z,79
158,10007156,NWES,The University of Salford,22,Social Work and Social Policy,Z,9
158,10007156,NWES,The University of Salford,28,Modern Languages and Linguistics,Z,23
